Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
"Baunegårdsvej 26, st. ",55.743418,12.545465,7995000,Villalejlighed,5,1912,mellem,539,322,353,135,59222,D,https://www.dingeo.dk/adresse/2820-gentofte/bauneg%C3%A5rdsvej-26/st-/
Fennevangen 26,55.746829,12.509362,8995000,Villa,5,1934,mellem,662,345,298,142,63345,E,https://www.dingeo.dk/adresse/2820-gentofte/fennevangen-26/
Parkovsvej 49,55.752351,12.553416,12495000,Villa,5,1958,høj,944,377,926,135,92555,E,https://www.dingeo.dk/adresse/2820-gentofte/parkovsvej-49/
Solbakkevej 63,55.765862,12.542357,10995000,Villa,7,,høj,"2,03",128,1.132,190,57868,N/A,https://www.dingeo.dk/adresse/2820-gentofte/solbakkevej-63/
Garderhøjvej 19,55.767251,12.528246,10495000,Villa,6,1930,høj,"1,53",685,641,131,80114,D,https://www.dingeo.dk/adresse/2820-gentofte/garderh%C3%B8jvej-19/
Kløckersvej 36,55.745995,12.548633,17995000,Villa,6,1918,mellem,509,568,427,190,94710,E,https://www.dingeo.dk/adresse/2820-gentofte/kl%C3%B8ckersvej-36/
"Ellegårdsvænge 2, 1. th",55.737599,12.531911,3195000,Ejerlejlighed,3,1938,mellem,"1,20",573,642,75,42600,D,https://www.dingeo.dk/adresse/2820-gentofte/elleg%C3%A5rdsv%C3%A6nge-2/1-th/
Grænsevej 12,55.751116,12.501017,7995000,Villa,5,1939,mellem,"1,05",367,665,159,50283,D,https://www.dingeo.dk/adresse/2820-gentofte/gr%C3%A6nsevej-12/
"Rosenvej 19, st. ",55.743528,12.541492,7250000,Villalejlighed,4,1902,mellem,451,211,177,120,60416,D,https://www.dingeo.dk/adresse/2820-gentofte/rosenvej-19/st-/
Kløckersvej 8B,55.746045,12.544866,9500000,Villa,4,1955,mellem,293,335,192,146,65068,C,https://www.dingeo.dk/adresse/2820-gentofte/kl%C3%B8ckersvej-8b/
Solsiden 2,55.764763,12.545567,15375000,Villa,8,1938,høj,"1,86",161,1.281,210,73214,D,https://www.dingeo.dk/adresse/2820-gentofte/solsiden-2/
Prins Valdemars Vej 15,55.757407,12.538885,11995000,Villa,4,1954,høj,"1,10",324,931,174,68936,D,https://www.dingeo.dk/adresse/2820-gentofte/prins%20valdemars%20vej-15/
Lyngbyvej 393A,55.747287,12.527506,5995000,Villa,6,1943,høj,644,221,561,121,49545,D,https://www.dingeo.dk/adresse/2820-gentofte/lyngbyvej-393a/
Mosebuen 16,55.745306,12.519617,13900000,Villa,3,1931,mellem,503,332,383,204,68137,C,https://www.dingeo.dk/adresse/2820-gentofte/mosebuen-16/
"Adolphsvej 30A, 1. ",55.748339,12.550568,10500000,Ejerlejlighed,7,,mellem,607,387,577,224,46875,D,https://www.dingeo.dk/adresse/2820-gentofte/adolphsvej-30a/1-/
Markvangen 1,55.748934,12.526697,7995000,Villa,7,1936,høj,538,289,486,240,33312,D,https://www.dingeo.dk/adresse/2820-gentofte/markvangen-1/
Jægersborg Alle 162C,55.763163,12.538531,14500000,Rækkehus,5,2014,høj,"1,74",318,803,218,66513,A,https://www.dingeo.dk/adresse/2820-gentofte/j%C3%A6gersborg%20alle-162c/
"Snogegårdsvænget 4, st. tv",55.74934,12.516693,3795000,Ejerlejlighed,5,1958,mellem,119,282,141,98,38724,D,https://www.dingeo.dk/adresse/2820-gentofte/snogeg%C3%A5rdsv%C3%A6nget-4/st-tv/
