Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
"Nygårdsvej 41A, 2. tv",55.711602,12.570685,3895000,Ejerlejlighed,3,1969,lav,480,141,78,76,51250,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/nyg%C3%A5rdsvej-41a/2-tv/
"Strandboulevarden 101, 2. th",55.707667,12.585303,6495000,Ejerlejlighed,4,,lav,554,148,134,101,64306,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/strandboulevarden-101/2-th/
"Kildevældsgade 64, 4. ",55.714347,12.571365,8495000,Ejerlejlighed,4,1907,lav,666,79,260,138,61557,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/kildev%C3%A6ldsgade-64/4-/
"Rosenvængets Hovedvej 48, st. 4",55.701222,12.587771,6195000,Ejerlejlighed,3,,lav,638,124,249,88,70397,B,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/rosenv%C3%A6ngets%20hovedvej-48/st-4/
H.C. Lumbyes Gade 39,55.714634,12.57267,13495000,Rækkehus,6,1902,lav,652,136,298,149,90570,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/h.c.%20lumbyes%20gade-39/
"Vennemindevej 51, 1. tv",55.712536,12.568853,4795000,Ejerlejlighed,3,,lav,635,77,189,86,55755,D,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/vennemindevej-51/1-tv/
"Faksegade 19, 4. th",55.700628,12.57992,7795000,Ejerlejlighed,5,,lav,143,99,53,108,72175,D,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/faksegade-19/4-th/
"Korsørgade 32, 4. th",55.707103,12.583675,4195000,Ejerlejlighed,2,100 MBit,lav,486,145,121,65,64538,N/A,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/kors%C3%B8rgade-32/4-th/
"Aldersrogade 7, 2. th",55.706462,12.560792,2998000,Ejerlejlighed,2,200 MBit,lav,918,81,138,52,57653,N/A,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/aldersrogade-7/2-th/
"Scherfigsvej 13, 4. tv",55.72194,12.580712,10495000,Ejerlejlighed,4,,lav,464,595,242,117,89700,A,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/scherfigsvej-13/4-tv/
"Marstalsgade 29, 4. tv",55.704026,12.588378,4750000,Ejerlejlighed,3,,N/A,801,87,224,75,63333,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/marstalsgade-29/4-tv/
"J.E. Ohlsens Gade 14, 3. tv",55.701493,12.579969,15500000,Ejerlejlighed,5,,lav,212,194,67,186,83333,D,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/j.e.%20ohlsens%20gade-14/3-tv/
"Amerika Plads 26B, 5. 1",55.69976,12.594286,9250000,Ejerlejlighed,3,,N/A,"1,04",303,193,124,74596,B,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/amerika%20plads-26b/5-1/
"Victor Bendix Gade 24, st. tv",55.711876,12.56654,4750000,Ejerlejlighed,4,1968,lav,730,91,261,102,46568,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/victor%20bendix%20gade-24/st-tv/
Østerbrogade 92A,55.70123,12.578177,14500000,Rækkehus,4,,lav,142,191,32,160,90625,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/%C3%B8sterbrogade-92a/
"Østerbrogade 52, 5. th",55.6971694,12.5795786,15250000,Ejerlejlighed,3,1898,lav,311,251,7,140,108928,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/%C3%B8sterbrogade-52/5-th/
"Scherfigsvej 25, st. tv",55.721823,12.58244,8995000,Ejerlejlighed,3,,lav,522,645,327,120,74958,A,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/scherfigsvej-25/st-tv/
Voldmestergade 31,55.693675,12.576325,14995000,Rækkehus,6,1876,lav,705,215,373,129,116240,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/voldmestergade-31/
"Strandboulevarden 107, 2. tv",55.708361,12.584956,7495000,Ejerlejlighed,4,,lav,511,127,211,107,70046,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/strandboulevarden-107/2-tv/
"Stockholmsgade 37, 4. tv",55.69132,12.579757,9750000,Ejerlejlighed,4,,lav,965,136,445,152,64144,C,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/stockholmsgade-37/4-tv/
"Lyngbyvej 75, st. ",55.711665,12.55989,5495000,Ejerlejlighed,3,,lav,"1,13",76,138,77,71363,N/A,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/lyngbyvej-75/st-/
"Lyngbyvej 32D, 8. mf",55.709542,12.562279,3195000,Ejerlejlighed,2,1972,lav,945,56,27,64,49921,B,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/lyngbyvej-32d/8-mf/
"Kristianiagade 4, 1. ",55.69361,12.586044,13245000,Ejerlejlighed,6,1905,lav,871,324,227,218,60756,D,https://www.dingeo.dk/adresse/2100-k%C3%B8benhavn%20%C3%B8/kristianiagade-4/1-/
