Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Egehøj 2,55.854869,12.167487,3465000,Villa,5,1973,N/A,"1,01",262,1.266,134,25858,D,https://www.dingeo.dk/adresse/3550-slangerup/egeh%C3%B8j-2/
Kongensgade 11,55.845447,12.171884,4295000,Villa,6,,N/A,71,98,184,344,12485,N/A,https://www.dingeo.dk/adresse/3550-slangerup/kongensgade-11/
Kongshøjparken 70,55.848837,12.170917,2595000,Rækkehus,5,1972,N/A,311,428,564,124,20927,D,https://www.dingeo.dk/adresse/3550-slangerup/kongsh%C3%B8jparken-70/
Brobæksgade 14,55.843793,12.173446,3600000,Villa,7,,N/A,273,162,48,193,18652,N/A,https://www.dingeo.dk/adresse/3550-slangerup/brob%C3%A6ksgade-14/
Sct Bernardvej 9,,,3250000,Villa,6,1978,N/A,580,314,220,174,18678,D,https://www.dingeo.dk/adresse/3550-slangerup/sct%20bernardvej-9/
Møllehaven 23,55.838851,12.168009,2750000,Rækkehus,4,2003,N/A,841,370,632,127,21653,B,https://www.dingeo.dk/adresse/3550-slangerup/m%C3%B8llehaven-23/
Kingovej 8B,55.847174,12.173511,2650000,Rækkehus,4,2002,N/A,158,213,371,122,21721,C,https://www.dingeo.dk/adresse/3550-slangerup/kingovej-8b/
Granplantagen 8,55.812807,12.229996,3875000,Fritidshus,5,2008,meget lav,"4,14",1625,4.094,150,25833,N/A,https://www.dingeo.dk/adresse/3550-slangerup/granplantagen-8/
5. Junivej 20,55.816002,12.235103,2995000,Fritidshus,5,1957,meget lav,"3,66",1474,3.615,150,19966,N/A,https://www.dingeo.dk/adresse/3550-slangerup/5.%20junivej-20/
Bøgevang 16,55.824509,12.21228,4995000,Fritidshus,4,1979,meget lav,"3,52",1258,3.091,83,60180,N/A,https://www.dingeo.dk/adresse/3550-slangerup/b%C3%B8gevang-16/
Kornvænget 23,55.86819,12.235043,3375000,Villa,5,1966,høj,"4,32",209,2.883,124,27217,C,https://www.dingeo.dk/adresse/3550-slangerup/kornv%C3%A6nget-23/
Møllehaven 8,55.838214,12.167998,4385000,Villa,6,2000,N/A,909,404,695,143,30664,B,https://www.dingeo.dk/adresse/3550-slangerup/m%C3%B8llehaven-8/
Spurvevej 15,55.846089,12.16674,3200000,Villa,4,1969,N/A,329,433,453,162,19753,C,https://www.dingeo.dk/adresse/3550-slangerup/spurvevej-15/
Hans Andersensvej 9,55.870101,12.239853,3395000,Villa,4,1972,høj,"4,30",575,2.957,186,18252,C,https://www.dingeo.dk/adresse/3550-slangerup/hans%20andersensvej-9/
Birkedalsvej 3,55.834099,12.155817,2495000,Villa,4,1903,N/A,"1,68",814,1.527,110,22681,E,https://www.dingeo.dk/adresse/3550-slangerup/birkedalsvej-3/
"Hans Atkesvej 6, st. ",55.849127,12.174623,1795000,Ejerlejlighed,3,1963,N/A,379,437,597,109,16467,D,https://www.dingeo.dk/adresse/3550-slangerup/hans%20atkesvej-6/st-/
Ved Åen 1,55.842205,12.175783,2225000,Villa,4,,N/A,497,371,106,130,17115,N/A,https://www.dingeo.dk/adresse/3550-slangerup/ved%20%C3%A5en-1/
Gulbjergvej 77,55.822431,12.195987,8595000,Villa,8,1920,mellem,"3,04",1981,2.634,288,29843,B,https://www.dingeo.dk/adresse/3550-slangerup/gulbjergvej-77/
Hovmandsvej 9,55.853706,12.174307,2195000,Rækkehus,4,1986,N/A,859,284,1.097,85,25823,C,https://www.dingeo.dk/adresse/3550-slangerup/hovmandsvej-9/
Hvedemarken 17,55.85097,12.18136,3495000,Villa,6,1979,N/A,810,352,891,163,21441,D,https://www.dingeo.dk/adresse/3550-slangerup/hvedemarken-17/
Klosterstræde 13,55.844406,12.168997,2395000,Villa,4,1900,N/A,263,295,244,109,21972,D,https://www.dingeo.dk/adresse/3550-slangerup/klosterstr%C3%A6de-13/
Kirsebærvang 10,55.851374,12.178456,4295000,Villa,6,1976,N/A,720,267,892,202,21262,C,https://www.dingeo.dk/adresse/3550-slangerup/kirseb%C3%A6rvang-10/
Stensbjerghøj 3,55.856401,12.175322,4395000,Rækkehus,4,2020,N/A,"1,17",365,1.402,136,32316,A,https://www.dingeo.dk/adresse/3550-slangerup/stensbjergh%C3%B8j-3/
Bøgevej 6,55.829964,12.165065,2250000,Villa,4,1969,N/A,"1,84",1133,1.590,110,20454,E,https://www.dingeo.dk/adresse/3550-slangerup/b%C3%B8gevej-6/
Mølleengen 89,55.840702,12.167071,2895000,Rækkehus,4,2001,N/A,673,280,502,128,22617,B,https://www.dingeo.dk/adresse/3550-slangerup/m%C3%B8lleengen-89/
Ny Øvej 2,55.842793,12.18888,4395000,Villa,11,1880,N/A,"1,14",998,782,334,13158,D,https://www.dingeo.dk/adresse/3550-slangerup/ny%20%C3%B8vej-2/
Jørlunde Overdrev 14,55.830053,12.199461,5995000,Villa,6,1872,N/A,"2,50",1262,2.076,218,27500,B,https://www.dingeo.dk/adresse/3550-slangerup/j%C3%B8rlunde%20overdrev-14/
Morænevej 17,55.855278,12.17605,3695000,Villa,6,1968,N/A,"1,05",241,1.285,201,18383,D,https://www.dingeo.dk/adresse/3550-slangerup/mor%C3%A6nevej-17/
Sejrøvej 1B,55.842154,12.181288,1995000,Rækkehus,3,,N/A,740,572,327,72,27708,C,https://www.dingeo.dk/adresse/3550-slangerup/sejr%C3%B8vej-1b/
Kongshøj Alle 15,55.848548,12.171985,2275000,Rækkehus,3,2004,N/A,273,377,522,90,25277,B,https://www.dingeo.dk/adresse/3550-slangerup/kongsh%C3%B8j%20alle-15/
Sct Nilsvej 6,,,3495000,Villa,6,1979,N/A,649,242,296,206,16966,D,https://www.dingeo.dk/adresse/3550-slangerup/sct%20nilsvej-6/
Slangerupvej 9,55.874553,12.155414,5995000,Landejendom,6,1900,meget lav,"3,33",2566,3.432,199,30125,A2010,https://www.dingeo.dk/adresse/3550-slangerup/slangerupvej-9/
Lystrupvej 12A,55.852006,12.189043,9800000,Landejendom,13,1989,N/A,"1,27",683,1.239,444,22072,D,https://www.dingeo.dk/adresse/3550-slangerup/lystrupvej-12a/
Mølledammen 26,55.840202,12.1652,4895000,Villa,4,2002,N/A,781,156,627,136,35992,C,https://www.dingeo.dk/adresse/3550-slangerup/m%C3%B8lledammen-26/
Lindholmvej 9,55.855758,12.213492,2795000,Fritidshus,4,2000,meget lav,"2,86",1740,2.718,113,24734,N/A,https://www.dingeo.dk/adresse/3550-slangerup/lindholmvej-9/
Ravnsbjergvej 2,55.862057,12.187029,8000000,Landejendom,5,,N/A,"2,02",1059,2.173,270,29629,N/A,https://www.dingeo.dk/adresse/3550-slangerup/ravnsbjergvej-2/
Præstelunden 1,55.810889,12.230083,2850000,Fritidshus,5,,meget lav,"4,29",1442,4.236,119,23949,N/A,https://www.dingeo.dk/adresse/3550-slangerup/pr%C3%A6stelunden-1/
Brobæksgade 5,55.844354,12.173065,2695000,Villa,6,1958,N/A,206,102,59,146,18458,C,https://www.dingeo.dk/adresse/3550-slangerup/brob%C3%A6ksgade-5/
Tagetesvej 2,55.844903,12.185775,2995000,Villa,5,1962,N/A,893,790,605,204,14681,E,https://www.dingeo.dk/adresse/3550-slangerup/tagetesvej-2/
Kongensgade 64,55.852349,12.173535,2695000,Villa,5,1935,N/A,702,369,944,170,15852,F,https://www.dingeo.dk/adresse/3550-slangerup/kongensgade-64/
Vandtårnsvej 5,55.849586,12.175784,3795000,Villa,6,1962,N/A,460,502,665,149,25469,A2010,https://www.dingeo.dk/adresse/3550-slangerup/vandt%C3%A5rnsvej-5/
Kingovej 6B,55.847357,12.173539,2695000,Rækkehus,4,2003,N/A,175,234,392,119,22647,B,https://www.dingeo.dk/adresse/3550-slangerup/kingovej-6b/
Strædet 6,55.861799,12.222141,3495000,Villa,4,1900,lav,"3,64",882,3.051,156,22403,D,https://www.dingeo.dk/adresse/3550-slangerup/str%C3%A6det-6/
Morænevej 19,55.855345,12.175589,2695000,Villa,6,1971,N/A,"1,05",267,1.288,144,18715,D,https://www.dingeo.dk/adresse/3550-slangerup/mor%C3%A6nevej-19/
Kærstykket 23,55.866149,12.234853,3375000,Villa,4,,mellem,"4,15",129,3.046,120,28125,N/A,https://www.dingeo.dk/adresse/3550-slangerup/k%C3%A6rstykket-23/
Agerhøjen 1,55.853922,12.184641,4895000,Villa,6,1998,N/A,"1,19",374,1.273,167,29311,B,https://www.dingeo.dk/adresse/3550-slangerup/agerh%C3%B8jen-1/
Rappendamsvej 1A,55.829678,12.183559,3795000,Villa,5,2005,N/A,"1,97",1093,1.582,184,20625,A2010,https://www.dingeo.dk/adresse/3550-slangerup/rappendamsvej-1a/
Erik Arupsvej 7,55.842973,12.182252,1995000,Villa,4,1963,N/A,744,619,360,105,19000,D,https://www.dingeo.dk/adresse/3550-slangerup/erik%20arupsvej-7/
Birkemosevej 10,55.842429,12.171046,3595000,Villa,8,,N/A,410,347,191,204,17622,N/A,https://www.dingeo.dk/adresse/3550-slangerup/birkemosevej-10/
Engkæret 11,55.81544,12.234527,2495000,Fritidshus,2,1999,meget lav,"3,73",1546,3.684,88,28352,N/A,https://www.dingeo.dk/adresse/3550-slangerup/engk%C3%A6ret-11/
Sejrøvej 1,55.842308,12.181391,5175000,Villa,6,2009,N/A,736,590,326,158,32753,C,https://www.dingeo.dk/adresse/3550-slangerup/sejr%C3%B8vej-1/
Granplantagen 10,55.812839,12.229389,4375000,Fritidshus,4,2008,meget lav,"4,17",1610,4.121,160,27343,N/A,https://www.dingeo.dk/adresse/3550-slangerup/granplantagen-10/
Kongstedvænge 6,55.86948,12.239625,3395000,Villa,4,1973,høj,"4,25",520,2.991,148,22939,D,https://www.dingeo.dk/adresse/3550-slangerup/kongstedv%C3%A6nge-6/
Vrangebøgvej 25,55.812992,12.220106,4995000,Fritidshus,4,1998,mellem,"4,55",1466,4.177,144,34687,N/A,https://www.dingeo.dk/adresse/3550-slangerup/vrangeb%C3%B8gvej-25/
Hørupvej 7,55.85159,12.133004,5750000,Villa,7,1896,N/A,"2,55",2030,2.670,302,19039,D,https://www.dingeo.dk/adresse/3550-slangerup/h%C3%B8rupvej-7/
Hans Atkesvej 5,55.849743,12.174305,4700000,Villa,6,2012,N/A,433,502,661,208,22596,A2010,https://www.dingeo.dk/adresse/3550-slangerup/hans%20atkesvej-5/
Engkæret 4,55.814956,12.232338,2150000,Fritidshus,4,1966,meget lav,"3,87",1673,3.824,80,26875,N/A,https://www.dingeo.dk/adresse/3550-slangerup/engk%C3%A6ret-4/
Banegraven 11,55.846357,12.182408,4250000,Villa,4,,N/A,670,588,492,159,26729,N/A,https://www.dingeo.dk/adresse/3550-slangerup/banegraven-11/
Stensbjerghøj 21,55.856884,12.177177,4395000,Rækkehus,4,2019,N/A,"1,24",360,1.473,140,31392,A,https://www.dingeo.dk/adresse/3550-slangerup/stensbjergh%C3%B8j-21/
Birkemosevej 5G,55.842473,12.172905,2475000,Rækkehus,5,2006,N/A,406,310,155,108,22916,C,https://www.dingeo.dk/adresse/3550-slangerup/birkemosevej-5g/
Kongensgade 57,55.851321,12.172663,3300000,Villa,5,1937,N/A,583,354,828,127,25984,C,https://www.dingeo.dk/adresse/3550-slangerup/kongensgade-57/
