Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Gårdager 25,55.64825,12.222154,4695000,Villa,5,1974,mellem,"1,41",141,311,148,31722,E,https://www.dingeo.dk/adresse/2640-hedehusene/g%C3%A5rdager-25/
Kalleruphaven 79,55.661909,12.198577,1195000,Fritidshus,1,,lav,"1,38",943,956,50,23900,N/A,https://www.dingeo.dk/adresse/2640-hedehusene/kalleruphaven-79/
Hovedgaden 455,55.648406,12.186928,2295000,Andelsbolig,3,1910,N/A,853,412,724,102,22500,D,https://www.dingeo.dk/adresse/2640-hedehusene/hovedgaden-455/
Hulkærvej 2,55.651684,12.19167,4995000,Villa,6,1962,mellem,594,519,317,218,22912,C,https://www.dingeo.dk/adresse/2640-hedehusene/hulk%C3%A6rvej-2/
M W Gjøes Vej 2D,55.622636,12.187861,3000000,Rækkehus,3,2018,mellem,"3,08",297,2.897,90,33333,A2015,https://www.dingeo.dk/adresse/2640-hedehusene/m%20w%20gj%C3%B8es%20vej-2d/
Vestervang 10,55.651582,12.188858,2595000,Villa,3,1930,mellem,758,339,475,99,26212,E,https://www.dingeo.dk/adresse/2640-hedehusene/vestervang-10/
Fritidshaven 35,55.663121,12.207249,1045000,Fritidshus,2,1974,lav,"1,58",1460,1.305,47,22234,N/A,https://www.dingeo.dk/adresse/2640-hedehusene/fritidshaven-35/
Møllevej 25,55.661013,12.184648,4195000,Villa,5,1966,lav,"1,62",51,145,136,30845,B,https://www.dingeo.dk/adresse/2640-hedehusene/m%C3%B8llevej-25/
Rønnevej 7,55.654661,12.187053,2995000,Villa,4,1957,lav,"1,01",407,556,110,27227,D,https://www.dingeo.dk/adresse/2640-hedehusene/r%C3%B8nnevej-7/
Hedesøvej 20,55.642986,12.205027,4150000,Rækkehus,5,2020,N/A,786,247,760,114,36403,A,https://www.dingeo.dk/adresse/2640-hedehusene/hedes%C3%B8vej-20/
Kalleruphaven 5,55.662979,12.202558,995000,Fritidshus,3,1973,lav,"1,50",1212,1.145,49,20306,N/A,https://www.dingeo.dk/adresse/2640-hedehusene/kalleruphaven-5/
Fløngvej 46,55.653176,12.183102,2595000,Villa,4,1917,lav,"1,16",181,756,108,24027,E,https://www.dingeo.dk/adresse/2640-hedehusene/fl%C3%B8ngvej-46/
"Hedekæret 42, 2. tv",55.655486,12.195097,1795000,Ejerlejlighed,3,1971,mellem,739,642,225,78,23012,D,https://www.dingeo.dk/adresse/2640-hedehusene/hedek%C3%A6ret-42/2-tv/
Søgræsgade 74,55.641661,12.208929,3995000,Rækkehus,5,2022,N/A,"1,03",523,989,132,30265,N/A,https://www.dingeo.dk/adresse/2640-hedehusene/s%C3%B8gr%C3%A6sgade-74/
"Søbakkevej 2, 1. 2",55.644278,12.207916,2395000,Ejerlejlighed,3,2022,N/A,746,450,691,72,33263,A2015,https://www.dingeo.dk/adresse/2640-hedehusene/s%C3%B8bakkevej-2/1-2/
Askevang 68A,55.662096,12.183544,5795000,Villa,4,2022,høj,"1,76",136,235,174,33304,A2010,https://www.dingeo.dk/adresse/2640-hedehusene/askevang-68a/
Fritidshaven 67,55.662196,12.207942,995000,Fritidshus,2,1974,lav,"1,49",1377,1.249,32,31093,N/A,https://www.dingeo.dk/adresse/2640-hedehusene/fritidshaven-67/
Hedevej 35,55.65368,12.192123,3275000,Villa,3,1951,lav,692,596,218,83,39457,C,https://www.dingeo.dk/adresse/2640-hedehusene/hedevej-35/
Kongelysvej 30,55.645203,12.1992,3995000,Rækkehus,5,2019,N/A,481,257,454,106,37688,A,https://www.dingeo.dk/adresse/2640-hedehusene/kongelysvej-30/
Fagerbo 49,55.657329,12.193966,3599000,Villa,4,1973,lav,955,615,439,142,25345,D,https://www.dingeo.dk/adresse/2640-hedehusene/fagerbo-49/
Fyrrevang 82,55.662575,12.190476,3700000,Villa,5,1972,høj,"1,58",460,543,120,30833,C,https://www.dingeo.dk/adresse/2640-hedehusene/fyrrevang-82/
Lyngmosen 13,55.654604,12.200796,3095000,Villa,6,1962,mellem,568,449,358,160,19343,D,https://www.dingeo.dk/adresse/2640-hedehusene/lyngmosen-13/
Plantagevej 9,55.653125,12.190635,3395000,Villa,6,1952,lav,729,485,315,166,20451,D,https://www.dingeo.dk/adresse/2640-hedehusene/plantagevej-9/
Stjernedalen 4,55.659045,12.18975,3398000,Villa,5,1970,lav,"1,25",362,427,129,26341,C,https://www.dingeo.dk/adresse/2640-hedehusene/stjernedalen-4/
"Hedesøvej 12, 1. 2",55.643239,12.204723,2695000,Ejerlejlighed,3,2020,N/A,753,227,728,83,32469,A,https://www.dingeo.dk/adresse/2640-hedehusene/hedes%C3%B8vej-12/1-2/
