Address,Longitude,Latitude,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Zipcode
"Ålborggade 7, st. th",55.705598,12.578491,3150000,Ejerlejlighed,2.0,1893.0,lav,424.0,126,156.0,54,58333,C,2100
Webersgade 48,55.690808,12.5729,9995000,Rækkehus,5.0,1879.0,lav,766.0,259,194.0,135,74037,C,2100
"Bryggervangen 16, 4. th",55.709561,12.564745,3670000,Ejerlejlighed,2.0,1920.0,lav,788.0,106,69.0,59,62203,C,2100
"Nygårdsvej 17, 2. th",55.71216,12.573767,3195000,Ejerlejlighed,2.0,1899.0,lav,379.0,100,134.0,53,60283,C,2100
"J.E. Ohlsens Gade 1, 2. th",55.70168,12.578062,7995000,Ejerlejlighed,4.0,1920.0,lav,192.0,163,43.0,106,75424,C,2100
"Olof Palmes Gade 1, 1. ",55.693387,12.583745,7250000,Ejerlejlighed,4.0,1920.0,lav,816.0,400,325.0,116,62500,C,2100
"Langelinie Allé 3, 1. 3",55.695869,12.599272,10995000,Ejerlejlighed,4.0,1997.0,lav,568.5,243,389.0,151,72814,C,2100
"Nyborggade 4, 1. ",55.709637,12.578427,13995000,Ejerlejlighed,4.0,1920.0,lav,90.0,154,59.0,199,70326,C,2100
"Venøgade 28, st. th",55.71261,12.565203,5795000,Ejerlejlighed,4.0,1920.0,lav,841.0,160,200.0,96,60364,B,2100
"Bomhusvej 16B, 3. mf",55.72226,12.557534,3495000,Ejerlejlighed,3.0,1920.0,mellem,568.5,55,299.0,71,49225,A,2100
"Classensgade 17, 5. tv",55.69702,12.58255,14495000,Ejerlejlighed,6.0,1920.0,lav,436.0,256,193.0,175,82828,D,2100
"Victor Bendix Gade 16, 4. tv",55.711919,12.566346,4495000,Ejerlejlighed,3.0,1920.0,lav,743.0,98,257.0,79,56898,C,2100
Sølundsvej 3,55.718777,12.574288,40000000,Villa,10.0,1910.0,lav,831.0,211,297.0,345,115942,D,2100
"Strandboulevarden 62A, 2. ",55.702563,12.588581,5245000,Ejerlejlighed,3.0,1920.0,lav,734.0,195,222.0,85,61705,C,2100
"Langelinie Allé 9, st. 4",55.696842,12.599433,3699000,Ejerlejlighed,2.0,1920.0,lav,568.5,313,343.0,76,48671,C,2100
Skovgaardsgade 21,55.692379,12.575065,15495000,Rækkehus,6.0,1886.0,lav,861.0,160,352.0,145,106862,C,2100
"Jagtvej 213, 1. 2",55.708956,12.574424,2695000,Ejerlejlighed,2.0,1920.0,lav,176.0,198,93.0,64,42109,C,2100
"Strandpromenaden 75, 3. th",55.721489,12.581606,14500000,Ejerlejlighed,4.0,1920.0,lav,531.0,584,263.0,178,81460,C,2100
"Æbeløgade 26, st. tv",55.712239,12.561543,2850000,Ejerlejlighed,2.0,1920.0,lav,568.5,47,58.0,58,49137,D,2100
Eckersbergsgade 6,55.691476,12.575662,15995000,Rækkehus,5.0,1883.0,lav,953.0,110,282.0,135,118481,C,2100
"Scherfigsvej 21, 1. tv",55.721898,12.581768,8995000,Ejerlejlighed,4.0,1920.0,lav,494.0,627,293.0,123,73130,A,2100
"Strandvejen 20C, 1. tv",55.71938,12.577917,7995000,Ejerlejlighed,4.0,1920.0,lav,723.0,261,126.0,129,61976,D,2100
"Emdrupvej 12, st. th",55.718878,12.554815,2495000,Ejerlejlighed,3.0,1920.0,mellem,568.5,312,82.0,64,38984,D,2100
"Victor Bendix Gade 20, st. tv",55.712159,12.566495,4145000,Ejerlejlighed,3.0,1920.0,lav,745.0,79,269.0,83,49939,C,2100
"Østerbrogade 208, 1. mf",55.712045,12.578312,4495000,Ejerlejlighed,3.0,1920.0,lav,310.0,115,81.0,74,60743,C,2100
"Willemoesgade 19, 3. th",55.697978,12.58154,8798000,Ejerlejlighed,4.0,1920.0,lav,315.0,141,152.0,121,72710,C,2100
"Vibekegade 9, 1. tv",55.706477,12.55576,4495000,Ejerlejlighed,3.0,1920.0,lav,640.0,128,209.0,74,60743,D,2100
Høyensgade 5,55.692311,12.576421,14495000,Rækkehus,4.0,1884.0,lav,854.0,85,386.0,137,105802,D,2100
Vesterled 20,55.719452,12.581001,26995000,Villa,10.0,1920.0,lav,735.0,391,233.0,270,99981,C,2100
"Lyngbyvej 75, 1. ",55.711665,12.55989,4398000,Ejerlejlighed,3.0,1920.0,lav,568.5,76,138.0,84,52357,D,2100
"Engelstedsgade 39, 1. ",55.711056,12.558758,4495000,Ejerlejlighed,3.0,1921.0,lav,568.5,175,216.0,76,59144,D,2100
Svanemøllevej 36,55.72048,12.575289,25000000,Villa,7.0,1935.0,lav,631.0,365,163.0,191,130890,C,2100
"Marstalsgade 23, 2. th",55.703889,12.586818,3595000,Ejerlejlighed,2.0,1902.0,lav,712.0,156,154.0,56,64196,C,2100
"Solvænget 1, st. th",55.718945,12.577539,7495000,Ejerlejlighed,5.0,1920.0,lav,773.0,208,175.0,130,57653,E,2100
Soldalen 24,55.719449,12.579577,19995000,Rækkehus,10.0,1931.0,lav,719.0,326,162.0,263,76026,D,2100
"Nordre Frihavnsgade 21, 5. th",55.701032,12.579941,6795000,Ejerlejlighed,5.0,1920.0,lav,172.0,143,36.0,95,71526,C,2100
Berggreensgade 52,55.715375,12.573288,13750000,Rækkehus,6.0,1901.0,lav,713.0,180,315.0,143,96153,D,2100
"Indiakaj 13, 4. mf",55.695335,12.598598,5495000,Ejerlejlighed,2.0,1994.0,lav,568.5,182,398.0,75,73266,C,2100
"Heisesgade 33, st. ",55.714271,12.573427,4995000,Villalejlighed,2.0,1894.0,lav,596.0,194,275.0,65,76846,D,2100
"Ålborggade 20, 1. th",55.705552,12.579377,3375000,Ejerlejlighed,2.0,1920.0,lav,444.0,115,213.0,55,61363,C,2100
"Strandboulevarden 44, 2. tv",55.700683,12.589828,9495000,Ejerlejlighed,5.0,1931.0,lav,758.0,40,386.0,132,71931,C,2100
"Amerika Plads 3D, 3. th",55.697598,12.59422,8500000,Ejerlejlighed,4.0,1920.0,lav,568.5,315,50.0,138,61594,C,2100
"Amerika Plads 32B, 6. th",55.699929,12.594982,13000000,Ejerlejlighed,4.0,2006.0,lav,568.5,336,214.0,160,81250,B,2100
"Haraldsgade 103, 2. ",55.709838,12.559903,4995000,Ejerlejlighed,3.0,1920.0,lav,568.5,211,118.0,79,63227,D,2100
Scherfigsvej 1,55.72194,12.578104,48000000,Villa,8.0,1900.0,lav,439.0,536,159.0,474,101265,C,2100
"Midtermolen 18, 1. tv",55.697494,12.597758,6995000,Ejerlejlighed,4.0,1994.0,lav,568.5,311,218.0,123,56869,C,2100
"Korsørgade 29, 2. tv",55.707363,12.583524,9250000,Ejerlejlighed,5.0,1920.0,lav,464.0,114,146.0,151,61258,C,2100
"Middelfartgade 4, 3. th",55.709062,12.585804,6195000,Ejerlejlighed,4.0,1920.0,lav,555.0,84,291.0,100,61950,D,2100
"Brammingegade 6, 4. th",55.70638,12.578507,4495000,Ejerlejlighed,2.0,1920.0,lav,340.0,107,167.0,66,68106,C,2100
"Drejøgade 26A, 3. 304",55.710787,12.572402,2345000,Ejerlejlighed,1.0,1920.0,lav,340.0,77,143.0,38,61710,C,2100
"Drejøgade 26B, st. 4",55.711037,12.572248,2195000,Ejerlejlighed,1.0,1920.0,lav,363.0,59,114.0,40,54875,C,2100
"Willemoesgade 63, 4. ",55.698683,12.586222,8995000,Ejerlejlighed,4.0,1897.0,lav,542.0,136,136.0,126,71388,D,2100
"Løgstørgade 37, 2. tv",55.708865,12.584363,4395000,Ejerlejlighed,3.0,1920.0,lav,465.0,113,272.0,68,64632,C,2100
"Scherfigsvej 13, 5. ",55.72194,12.580712,9995000,Ejerlejlighed,3.0,1920.0,lav,464.0,595,242.0,110,90863,A,2100
Heisesgade 4,55.713478,12.574,12995000,Rækkehus,6.0,1893.0,lav,501.0,239,220.0,151,86059,C,2100
"Amerika Plads 20, 5. 4",55.699483,12.594325,4495000,Ejerlejlighed,3.0,1920.0,lav,568.5,321,162.0,81,55493,B,2100
"Holsteinsgade 9, 3. tv",55.698803,12.582694,12950000,Ejerlejlighed,7.0,1920.0,lav,325.0,64,245.0,223,58071,C,2100
"Scherfigsvej 19, 2. tv",55.721898,12.581546,8500000,Ejerlejlighed,4.0,1920.0,lav,488.0,619,281.0,119,71428,A,2100
"Kildevældsgade 74, 3. tv",55.714222,12.569982,5495000,Ejerlejlighed,3.0,1906.0,lav,707.0,85,268.0,90,61055,C,2100
"Rothesgade 4, 5. ",55.703351,12.578927,8495000,Ejerlejlighed,4.0,1904.0,lav,382.0,131,134.0,168,50565,D,2100
"Næstvedgade 6A, st. ",55.700432,12.586033,2995000,Ejerlejlighed,2.0,1890.0,lav,514.0,42,278.0,60,49916,D,2100
"Strandboulevarden 145, 1. tv",55.708993,12.579984,7495000,Ejerlejlighed,4.0,1904.0,lav,187.0,149,179.0,124,60443,C,2100
